"mlst","organism"
"abaumannii","Acinetobacter_baumannii"
"abaumannii_2","Acinetobacter_baumannii"
"achromobacter","Achromobacter"
"aeromonas","Aeromonas"
"aactinomycetemcomitans","Aggregatibacter_actinomycetemcomitans"
"aphagocytophilum","Anaplasma_phagocytophilum"
"arcobacter","Arcobacter"
NA,"Aspergillus_fumigatus"
NA,"Avibacterium_paragallinarum"
"bcereus","Bacillus_cereus"
"blicheniformis_14","Bacillus_licheniformis"
"bsubtilis","Bacillus_subtilis"
"bfragilis","Bacteroides_fragilis"
"bbacilliformis","Bartonella_bacilliformis"
"bhenselae","Bartonella_henselae"
"bwashoensis","Bartonella_washoensis"
"bordetella_3","Bordetella"
"borrelia","Borrelia"
"brachyspira","Brachyspira"
"brachyspira_2","Brachyspira"
"brachyspira_3","Brachyspira"
"brachyspira_4","Brachyspira"
"brachyspira_5","Brachyspira"
"brucella","Brucella"
"bcc","Burkholderia_cepacia_complex"
NA,"Burkholderia_mallei"
"bpseudomallei","Burkholderia_pseudomallei"
"campylobacter","Campylobacter"
"ccoli","Campylobacter_coli"
"cjejuni","Campylobacter_jejuni"
"campylobacter_nonjejuni","Campylobacter_non_jejuni"
"campylobacter_nonjejuni_2","Campylobacter_non_jejuni"
"campylobacter_nonjejuni_3","Campylobacter_non_jejuni"
"campylobacter_nonjejuni_4","Campylobacter_non_jejuni"
"campylobacter_nonjejuni_5","Campylobacter_non_jejuni"
"campylobacter_nonjejuni_6","Campylobacter_non_jejuni"
"campylobacter_nonjejuni_7","Campylobacter_non_jejuni"
"campylobacter_nonjejuni_8","Campylobacter_non_jejuni"
"campylobacter_nonjejuni_9","Campylobacter_non_jejuni"
NA,"Candida_albicans"
NA,"Candida_glabrata"
NA,"Candida_krusei"
NA,"Candida_tropicalis"
"cmaltaromaticum","Carnobacterium_maltaromaticum"
"chlamydiales","Chlamydiales"
"cfreundii","Citrobacter_freundii"
NA,"Clonorchis_sinensis"
"cdifficile","Clostridioides_difficile"
"cbotulinum","Clostridium_botulinum"
NA,"Clostridium_chauvoei"
"cperfringens","Clostridium_perfringens"
"csepticum","Clostridium_septicum"
"cronobacter","Cronobacter"
"cacnes","Cutibacterium_acnes"
"diphtheria_3","Diphtheria"
"dnodosus","Dichelobacter_nodosus"
"ecloacae","Enterobacter_cloacae"
"edwardsiella","Edwardsiella"
"efaecalis","Enterococcus_faecalis"
"efaecium","Enterococcus_faecium"
"ecoli","Escherichia_coli"
"ecoli_achtman_4","Escherichia_coli"
"fpsychrophilum","Flavobacterium_psychrophilum"
"gallibacterium","Gallibacterium"
NA,"Gallibacterium_anatis"
NA,"Glaesserella_parasuis"
"geotrichum","Geotrichum"
"hinfluenzae","Haemophilus_influenzae"
"helicobacter","Helicobacter"
"hcinaedi","Helicobacter_cinaedi"
NA,"Helicobacter_pylori"
"hparasuis","Helicobacter_parasuis"
"hsuis","Helicobacter_suis"
"kingella","Kingella"
"kaerogenes","Klebsiella_aerogenes"
"koxytoca","Klebsiella_oxytoca"
"klebsiella","Klebsiella"
NA,"Klebsiella_pneumoniae"
NA,"Kudoa_septempunctata"
"lsalivarius","Lactobacillus_salivarius"
NA,"Lactococcus_garvieae"
"leptospira","Leptospira"
"leptospira_2","Leptospira"
"leptospira_3","Leptospira"
"liberibacter","Liberibacter"
"listeria_2","Listeria"
"mcanis","Macrococcus_canis"
"mcaseolyticus","Macrococcus_caseolyticus"
"msciuri","Mammaliicoccus_sciuri"
"mhaemolytica","Mannheimia_haemolytica"
"mplutonius","Melissococcus_plutonius"
"mycobacteria_2","Mycobacteria"
"mabscessus","Mycobacterium_abscessus"
"magalactiae","Mycoplasma_agalactiae"
"manserisalpingitidis","Mycoplasma_anserisalpingitidis"
"mbovis_2","Mycoplasma_bovis"
"mflocculare","Mycoplasma_flocculare"
"mgallisepticum","Mycoplasma_gallisepticum"
"mgallisepticum_2","Mycoplasma_gallisepticum"
NA,"Mycoplasma_genitalium"
"mhominis_3","Mycoplasma_hominis"
"mhyopneumoniae","Mycoplasma_hyopneumoniae"
"mhyorhinis","Mycoplasma_hyorhinis"
NA,"Mycoplasma_hyosynoviae"
"miowae","Mycoplasma_iowae"
"mpneumoniae","Mycoplasma_pneumoniae"
"msynoviae","Mycoplasma_synoviae"
"mcatarrhalis_achtman_6","Moraxella_catarrhalis"
"neisseria","Neisseria"
"oralstrep","Oral_Streptococci"
"otsutsugamushi","Orientia_tsutsugamushi"
"orhinotracheale","Ornithobacterium_rhinotracheale"
"plarvae","Paenibacillus_larvae"
"pmultocida","Pasteurella_multocida"
"pmultocida_2","Pasteurella_multocida"
"ppentosaceus","Pediococcus_pentosaceus"
"pdamselae","Photobacterium_damselae"
"psalmonis","Piscirickettsia_salmonis"
"pgingivalis","Porphyromonas_gingivalis"
"paeruginosa","Pseudomonas_aeruginosa"
"pfluorescens","Pseudomonas_fluorescens"
"pputida","Pseudomonas_putida"
"pacnes_3","Propionibacterium_acnes"
"rhodococcus","Rhodococcus"
"ranatipestifer","Riemerella_anatipestifer"
"senterica_achtman_2","Salmonella_enterica"
NA,"Saprolegnia_parasitica"
"shewanella","Shewanella"
"sinorhizobium","Sinorhizobium"
"saureus","Staphylococcus_aureus"
"schromogenes","Staphylococcus_chromogenes"
"sepidermidis","Staphylococcus_epidermidis"
"shaemolyticus","Staphylococcus_haemolyticus"
"shominis","Staphylococcus_hominis"
"staphlugdunensis","Staphylococcus_lugdunensis"
"spseudintermedius","Staphylococcus_pseudintermedius"
"smaltophilia","Stenotrophomonas_maltophilia"
"sagalactiae","Streptococcus_agalactiae"
"scanis","Streptococcus_canis"
"sdysgalactiae","Streptococcus_dysgalactiae"
"sgallolyticus","Streptococcus_gallolyticus"
"sbsec","Streptococcus_bovis/equinus_complex"
NA,"Streptococcus_iniae"
NA,"Streptococcus_mitis"
"spneumoniae","Streptococcus_pneumoniae"
"spyogenes","Streptococcus_pyogenes"
"ssuis","Streptococcus_suis"
"sthermophilus","Streptococcus_thermophilus"
"suberis","Streptococcus_uberis"
"szooepidemicus","Streptococcus_zooepidemicus"
"streptomyces","Streptomyces"
"taylorella","Taylorella"
"tenacibaculum","Tenacibaculum"
"tpallidum","Treponema_pallidum"
NA,"Tricohomas_vaginalis"
"vibrio","Vibrio"
"vcholerae","Vibrio_cholerae"
"vcholerae_2","Vibrio_cholerae"
"vparahaemolyticus","Vibrio_parahaemolyticus"
"vtapetis","Vibrio_tapetis"
"vvulnificus","Vibrio_vulnificus"
"wolbachia","Wolbachia"
"ypseudotuberculosis_achtman_3","Yersinia_pseudotuberculosis"
"yruckeri","Yersinia_ruckeri"
NA,"Xanthomonas_citri"
"xfastidiosa","Xylella_fastidiosa"
"ureaplasma","Ureaplasma"
